Item Name,Qty,Price (total) (USD),Item link,Notes
ne555p,1,$0.59,https://www.mouser.com/ProductDetail/Texas-Instruments/NE555P?qs=rkhjVJ6%2F3EIf4CWgjIKuKQ%3D%3D&srsltid=AfmBOoqt_qtpm6x-xb6ItRXas0lvm4pWdZ4t9OCcuT_0DNiT4OnRRR8Y,
resistor 1k ohm,1,$13.99,https://www.mouser.com/ProductDetail/Texas-Instruments/NE555P?qs=rkhjVJ6%2F3EIf4CWgjIKuKQ%3D%3D&srsltid=AfmBOoqt_qtpm6x-xb6ItRXas0lvm4pWdZ4t9OCcuT_0DNiT4OnRRR8Y,i dont think any one sells resirtors with just one to i found a pack that had the resistor i need
potentyomiter,1,$12.99,https://www.amazon.com/dp/B0FGD497QN?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,i bought this pack becouse i need potentiomiters for other things
capacitor,1,$0.19,https://www.mouser.com/ProductDetail/KEMET/ESK107M025AC3AA?qs=sGAEpiMZZMvwFf0viD3Y3alQ38YpLRN%252B4qRjgpHjObw%3D,
2n2222,1,$0.15,https://www.mouser.com/ProductDetail/Diotec-Semiconductor/2N2222A?qs=OlC7AqGiEDmNlRSTGL2dYg%3D%3D,
fan,1,,https://www.pinterest.com/pin/portable-fan-with-2600mah-power-bank-and-flashlight--355362226841125559/,i got the fan from a broken porttible fan and i could not find it for the life of me
usb cord,1,,,you can use litarly any old thing that has a usb cord(i used a mouse cord)
charger block,1,$7.88,https://www.amazon.com/Adapter-Charging-Charger-1000mA-Electric/dp/B0FYC7QDYJ/ref=sr_1_2_sspa?crid=A4P3OKMMGTTN&dib=eyJ2IjoiMSJ9.MtZqOXqLFhtzeqAXVsnqT967jPtb5Fn8IFTRoBuNZ8paFyR9mLsaqFYdbFx5qHLB8H5JKJ7lZJmCf0Fxr0UneEmVDFSkFI0svM4G-XVxCuVMDzRtyu6gph2fmEhV6_yef_o0xqiX1zsUbhaHkjUqVxgi386BaBQXYkTdpmKMKQ6gGXJFqK7oa02YDxs1G4H4x5jheeX1MyyZFdFHPIuAA4D0LScr2Ewuq8aCKBItRqI.hEVAwZmtLHT33lGqFG7AC78BPuYisR30Wy4eVJN-ths&dib_tag=se&keywords=5v%2Bcharger&qid=1781657745&sprefix=5v%2Bch%2Caps%2C273&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,
diode,1,$0.31,https://www.mouser.com/ProductDetail/Diodes-Incorporated/1N4007-T?qs=e%2FRqmsgwm9iVtgJYUW23AA%3D%3D&utm_id=23749932125&utm_source=google&utm_medium=cpc&utm_marketing_tactic=amercorp&gad_source=1&gad_campaignid=23749932125&gbraid=0AAAAADn_wf3TwTsStvFz1g82EWcyrk5Gl&gclid=CjwKCAjw6MPRBhBTEiwAd-7Mr66gUngmBaveTo3mzah6P_5-IaQJzu3Js8kXPf53XzSKrIDJ821_jBoC9sQQAvD_BwE,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Total Price (USD):,$36.10,,,